start_index,end_index,average_word_length,average_sentence_length,stopword_percentage,punctuation_percentage,syntactic_complexity,avg_internal_word_freq_class,avg_external_word_freq_class,plag_confidence,contains_plag
0,45,4.875,15.0,0.25,0.0222222222222,0,8.0,9.875,0.502714334041,0
48,681,4.88073394495,23.4,0.43119266055,0.139020537125,22,6.48623853211,7.14678899083,0.319971826474,0
683,1111,3.82222222222,30.0,0.522222222222,0.0257009345794,20,6.08888888889,6.18888888889,0.254177925141,0
1113,1452,4.11940298507,22.3333333333,0.522388059701,0.0206489675516,18,6.23880597015,5.89552238806,0.258404444668,0
1454,1993,4.81914893617,18.8,0.436170212766,0.157699443414,28,6.64893617021,7.37234042553,0.369617198454,0
1996,2008,5.5,2.0,0.0,0.0833333333333,0,7.0,6.5,0.537037691239,0
2010,2036,4.6,5.0,0.2,0.0769230769231,1,6.0,8.6,0.608717613447,0
2040,2195,3.51515151515,18.0,0.484848484848,0.0258064516129,7,6.33333333333,6.75757575758,0.239944828018,0
2199,2223,7.33333333333,4.0,0.0,0.125,0,14.0,11.6666666667,0.51046919555,0
2225,2292,3.5,8.0,0.3125,0.0746268656716,3,5.625,8.75,0.549109417859,0
2294,2668,3.86419753086,21.2,0.271604938272,0.0775401069519,9,5.8024691358,10.2098765432,0.595834415047,0
2670,2797,4.24,26.0,0.36,0.0314960629921,5,6.88,8.64,0.336754911388,0
2799,2924,3.4,15.3333333333,0.333333333333,0.072,7,5.1,9.06666666667,0.513700555463,0
2926,2996,3.41176470588,16.0,0.235294117647,0.0714285714286,2,5.64705882353,10.7647058824,0.735327531748,0
2998,3052,3.0,15.0,0.333333333333,0.0925925925926,5,4.2,10.1333333333,0.667286444516,0
3054,3161,3.25925925926,10.6666666667,0.296296296296,0.102803738318,2,5.25925925926,10.1851851852,0.770828979034,0
3163,3261,2.65517241379,12.6666666667,0.241379310345,0.112244897959,5,4.58620689655,10.0344827586,0.799330648361,0
3263,3483,3.89130434783,47.0,0.434782608696,0.0227272727273,4,6.47826086957,7.0,0.3173913144,0
3485,3923,3.75531914894,31.3333333333,0.478723404255,0.0319634703196,23,6.08510638298,6.67021276596,0.253759160341,0
3925,5625,4.30606060606,55.0,0.418181818182,0.0364705882353,64,6.36060606061,7.69393939394,0.433302445038,0
5627,7400,4.09192200557,38.5,0.387186629526,0.0417371686407,77,6.5348189415,8.07242339833,0.450201277673,0
7402,7985,4.02542372881,29.4,0.466101694915,0.0257289879931,26,6.06779661017,6.68644067797,0.276057168322,0
7987,9020,4.19402985075,28.8571428571,0.497512437811,0.0222652468538,54,6.64676616915,6.69154228856,0.404909749115,0
9022,9665,4.29032258065,41.3333333333,0.411290322581,0.0295489891135,19,6.4435483871,7.17741935484,0.268262865724,0
9667,9801,3.75862068966,29.0,0.413793103448,0.0298507462687,2,5.96551724138,6.44827586207,0.28578332634,0
9803,9953,4.03225806452,31.0,0.354838709677,0.04,6,6.51612903226,7.61290322581,0.27717937523,0
9955,10072,2.85294117647,15.6,0.264705882353,0.128205128205,4,4.02941176471,10.2941176471,0.753293928849,0
10074,10290,4.0,45.0,0.522727272727,0.0185185185185,16,5.88636363636,5.93181818182,0.292164400866,0
10292,10437,3.63636363636,8.8,0.272727272727,0.0758620689655,8,6.15151515152,10.2121212121,0.620005864807,0
10439,10806,4.55882352941,34.5,0.455882352941,0.0326975476839,24,6.5,7.54411764706,0.269772853832,0
10808,11826,4.10344827586,29.0,0.43842364532,0.032416502947,38,6.38916256158,7.12807881773,0.357124194431,0
11828,11885,2.76470588235,11.5,0.352941176471,0.105263157895,2,4.35294117647,9.64705882353,0.649325772247,0
11887,11907,2.57142857143,33.5,0.142857142857,0.2,2,3.14285714286,12.8571428571,0.641510236868,0
11909,12221,3.39726027397,26.6666666667,0.493150684932,0.0384615384615,15,5.47945205479,6.93150684932,0.191583736134,0
12223,12272,3.81818181818,6.0,0.363636363636,0.0816326530612,4,4.90909090909,10.7272727273,0.671335322139,0
12274,12342,3.5625,12.0,0.4375,0.0735294117647,4,4.8125,8.5625,0.430538014173,0
12344,12374,2.77777777778,13.5,0.666666666667,0.1,3,3.0,7.88888888889,0.448748076587,0
12376,12451,3.55555555556,19.5,0.555555555556,0.0933333333333,2,4.33333333333,8.55555555556,0.417688626513,0
12453,12625,3.36585365854,16.6666666667,0.487804878049,0.0581395348837,9,5.09756097561,7.90243902439,0.272234046267,0
12627,12831,3.93023255814,20.75,0.441860465116,0.0539215686275,13,5.32558139535,8.20930232558,0.189829010166,0
12833,13012,3.675,26.5,0.35,0.0502793296089,4,5.3,8.35,0.367290313599,0
13014,13081,3.52941176471,9.0,0.0588235294118,0.149253731343,1,4.0,12.8235294118,0.699847674006,0
13083,13219,3.58064516129,17.3333333333,0.290322580645,0.0588235294118,4,5.41935483871,8.74193548387,0.516681663368,0
13221,13522,3.43055555556,33.6666666667,0.444444444444,0.0664451827243,17,4.94444444444,8.84722222222,0.306699894299,0
13524,13635,3.10344827586,69.5,0.379310344828,0.0720720720721,4,5.34482758621,8.79310344828,0.4331709201,0
13637,13952,3.55555555556,41.5,0.472222222222,0.0444444444444,18,5.73611111111,8.27777777778,0.268121053881,0
13954,14393,3.40384615385,19.0,0.355769230769,0.0569476082005,15,5.26923076923,8.32692307692,0.304004183616,0
14395,14423,2.6,24.0,0.1,0.25,0,3.0,13.2,0.643299545237,0
14425,14656,3.58823529412,13.0,0.490196078431,0.034632034632,10,6.1568627451,7.07843137255,0.239229448478,0
14658,15115,4.0652173913,46.0,0.478260869565,0.0262582056893,17,6.30434782609,6.97826086957,0.278736560772,0
15117,15304,3.34782608696,12.5,0.369565217391,0.0748663101604,9,4.47826086957,9.4347826087,0.535456404686,0
15306,15377,3.05263157895,15.25,0.210526315789,0.112676056338,3,4.68421052632,10.0,0.816160843115,0
15379,15577,3.90476190476,26.0,0.404761904762,0.040404040404,6,5.66666666667,8.16666666667,0.227652494229,0
15579,15795,4.20930232558,14.6666666667,0.348837209302,0.0462962962963,6,5.83720930233,8.81395348837,0.404000817697,0
15797,15920,3.25806451613,15.0,0.290322580645,0.0813008130081,8,5.06451612903,10.2258064516,0.688985503029,0
15922,15982,3.64285714286,15.0,0.214285714286,0.0833333333333,3,4.92857142857,10.1428571429,0.7998006252,0
15984,16033,3.41666666667,12.0,0.416666666667,0.0816326530612,6,5.0,9.0,0.455150802604,0
16035,16061,3.28571428571,3.5,0.285714285714,0.153846153846,2,4.14285714286,12.0,0.742083339608,0
16063,16197,3.64516129032,14.0,0.258064516129,0.0970149253731,2,4.58064516129,10.2258064516,0.817392479692,0
16199,16250,3.90909090909,12.0,0.363636363636,0.0588235294118,2,6.18181818182,9.81818181818,0.518248656556,0
16252,16387,3.46875,17.6666666667,0.28125,0.0740740740741,3,4.96875,9.1875,0.62576640008,0
16389,16493,4.14285714286,22.0,0.380952380952,0.0384615384615,3,6.0,8.28571428571,0.315831848541,0
16495,16524,2.77777777778,7.0,0.333333333333,0.137931034483,3,3.88888888889,11.5555555556,0.711151210759,0
16526,16629,3.36,11.3333333333,0.48,0.0679611650485,7,5.72,8.36,0.316379168087,0
16631,16660,2.77777777778,9.0,0.333333333333,0.137931034483,3,3.77777777778,11.0,0.705478787075,0
16662,16737,2.9,6.75,0.4,0.08,4,4.85,8.5,0.484885566323,0
